insee;commune;date;UV_J0;UV_J1;UV_J2;UV_J3
01335;SAINT-ANDRE-LE-BOUCHOUX;2024-01-18;1;1;1;;
01336;SAINT-ANDRE-SUR-VIEUX-JONC;2024-01-18;1;1;1;;
01337;SAINT-BENIGNE;2024-01-18;1;1;1;;
01338;SAINT-BENOIT;2024-01-18;1;1;1;;
01339;SAINT-BERNARD;2024-01-18;1;1;1;;
01340;SAINT-BOIS;2024-01-18;0;1;1;;
01341;SAINT-CHAMP;2024-01-18;0;1;1;;
01342;SAINTE-CROIX;2024-01-18;1;1;1;;
01343;SAINT-CYR-SUR-MENTHON;2024-01-18;1;1;1;;
01344;SAINT-DENIS-LES-BOURG;2024-01-18;1;1;1;;
01345;SAINT-DENIS-EN-BUGEY;2024-01-18;1;1;1;;
01346;SAINT-DIDIER-DAUSSIAT;2024-01-18;1;1;1;;
01347;SAINT-DIDIER-DE-FORMANS;2024-01-18;1;1;1;;
01348;SAINT-DIDIER-SUR-CHALARONNE;2024-01-18;1;1;1;;
01349;SAINT-ELOI;2024-01-18;1;1;1;;
01350;SAINT-ETIENNE-DU-BOIS;2024-01-18;1;1;1;;
01351;SAINT-ETIENNE-SUR-CHALARONNE;2024-01-18;1;1;1;;
01352;SAINT-ETIENNE-SUR-REYSSOUZE;2024-01-18;1;1;1;;
01353;SAINTE-EUPHEMIE;2024-01-18;1;1;1;;
01354;SAINT-GENIS-POUILLY;2024-01-18;0;1;1;;
01355;SAINT-GENIS-SUR-MENTHON;2024-01-18;1;1;1;;
01356;SAINT-GEORGES-SUR-RENON;2024-01-18;1;1;1;;
01357;SAINT-GERMAIN-DE-JOUX;2024-01-18;0;1;1;;
01358;SAINT-GERMAIN-LES-PAROISSES;2024-01-18;0;1;1;;
01359;SAINT-GERMAIN-SUR-RENON;2024-01-18;1;1;1;;
01360;SAINT-JEAN-DE-GONVILLE;2024-01-18;0;1;1;;
01361;SAINT-JEAN-DE-NIOST;2024-01-18;1;1;1;;
01362;SAINT-JEAN-DE-THURIGNEUX;2024-01-18;1;1;1;;
01363;SAINT-JEAN-LE-VIEUX;2024-01-18;1;1;1;;
01364;SAINT-JEAN-SUR-REYSSOUZE;2024-01-18;1;1;1;;
01365;SAINT-JEAN-SUR-VEYLE;2024-01-18;1;1;1;;
01366;SAINTE-JULIE;2024-01-18;1;1;1;;
01367;SAINT-JULIEN-SUR-REYSSOUZE;2024-01-18;1;1;1;;
01368;SAINT-JULIEN-SUR-VEYLE;2024-01-18;1;1;1;;
01369;SAINT-JUST;2024-01-18;1;1;1;;
01370;SAINT-LAURENT-SUR-SAONE;2024-01-18;1;1;1;;
01371;SAINT-MARCEL;2024-01-18;1;1;1;;
01372;SAINT-MARTIN-DE-BAVEL;2024-01-18;0;1;1;;
01373;SAINT-MARTIN-DU-FRENE;2024-01-18;1;1;1;;
01374;SAINT-MARTIN-DU-MONT;2024-01-18;1;1;1;;
01375;SAINT-MARTIN-LE-CHATEL;2024-01-18;1;1;1;;
01376;SAINT-MAURICE-DE-BEYNOST;2024-01-18;1;1;1;;
01378;SAINT-MAURICE-DE-GOURDANS;2024-01-18;1;1;1;;
01379;SAINT-MAURICE-DE-REMENS;2024-01-18;1;1;1;;
01380;SAINT-NIZIER-LE-BOUCHOUX;2024-01-18;1;1;1;;
01381;SAINT-NIZIER-LE-DESERT;2024-01-18;1;1;1;;
01382;SAINTE-OLIVE;2024-01-18;1;1;1;;
01383;SAINT-PAUL-DE-VARAX;2024-01-18;1;1;1;;
01384;SAINT-RAMBERT-EN-BUGEY;2024-01-18;1;1;1;;
01385;SAINT-REMY;2024-01-18;1;1;1;;
01386;SAINT-SORLIN-EN-BUGEY;2024-01-18;1;1;1;;
01387;SAINT-SULPICE;2024-01-18;1;1;1;;
01388;SAINT-TRIVIER-DE-COURTES;2024-01-18;1;1;1;;
01389;SAINT-TRIVIER-SUR-MOIGNANS;2024-01-18;1;1;1;;
01390;SAINT-VULBAS;2024-01-18;1;1;1;;
01391;SALAVRE;2024-01-18;1;1;1;;
01392;SAMOGNAT;2024-01-18;1;1;1;;
01393;SANDRANS;2024-01-18;1;1;1;;
01396;SAULT-BRENAZ;2024-01-18;1;1;1;;
01397;SAUVERNY;2024-01-18;0;1;1;;
01398;SAVIGNEUX;2024-01-18;1;1;1;;
01399;SEGNY;2024-01-18;0;1;1;;
01400;SEILLONNAZ;2024-01-18;1;1;1;;
01401;SERGY;2024-01-18;0;1;1;;
01402;SERMOYER;2024-01-18;1;1;1;;
01403;SERRIERES-DE-BRIORD;2024-01-18;1;1;1;;
01404;SERRIERES-SUR-AIN;2024-01-18;1;1;1;;
01405;SERVAS;2024-01-18;1;1;1;;
01406;SERVIGNAT;2024-01-18;1;1;1;;
01407;SEYSSEL;2024-01-18;0;1;1;;
01408;SIMANDRE-SUR-SURAN;2024-01-18;1;1;1;;
01409;SONGIEU;2024-01-18;0;1;1;;
01410;SONTHONNAX-LA-MONTAGNE;2024-01-18;1;1;1;;
01411;SOUCLIN;2024-01-18;1;1;1;;
01412;SULIGNAT;2024-01-18;1;1;1;;
01413;SURJOUX;2024-01-18;0;1;1;;
01414;SUTRIEU;2024-01-18;0;1;1;;
01415;TALISSIEU;2024-01-18;0;1;1;;
01416;TENAY;2024-01-18;0;1;1;;
01417;THEZILLIEU;2024-01-18;0;1;1;;
01418;THIL;2024-01-18;1;1;1;;
01419;THOIRY;2024-01-18;0;1;1;;
01420;THOISSEY;2024-01-18;1;1;1;;
01421;TORCIEU;2024-01-18;1;1;1;;
